kuzinia [n]	kitchen
kuzinie [n]	cuisine
lab [n]	lip
lala [v]	lie (lie down)
lau [a]	old
lay [v]	come
lek [n]	play (amusement)
leka [v]	play (amuse oneself)
leng [a]	cold
letis [n]	lettuce
lida [v]	lead (direct)
lider [n]	leader
lili [n]	lily
lim [num]	five (5)
limun [n]	lemon
lin [n]	line
lis [a]	smooth
lit [a]	little (small)
lobak [n]	radish
log [n]	word
loga [v]	say (speak)
loja [v]	study (research)
lojie [n]	science
lok [n]	place (location)
lon [n]	argument (thesis)
lona [v]	argue (debate)
long [a]	long
luna [n]	moon
lusun [n]	asparagus
luta [v]	rob (loot)
mac [n]	match (contest)
mad [n]	honey
maf [n]	sorry (pardon)
mafan [v]	trouble (bother)
magie [n]	magic
maidan [n]	square (plaza)
mais [n]	corn (maize)
makas [n]	scissors
mal [n]	property (possession)
mala [v]	own (possess)
mam [n]	breast (boob)
mama [n]	mother
man [n]	man (male)
mana [v]	mean (signify)
mane [n]	meaning
mango [n]	mango
mangus [n]	mangosteen
mantu [n]	dumpling
manux [n]	human being
marxa [v]	walk (march)
mas [n]	mass (lump)
masal [n]	issue
mat [n]	death
mata [v]	kill
mati [a]	dead
matur [a]	mature (ripe, adult)
mau [n]	cat
max [a]	more
maxim [a]	most (maximally)
maxin [n]	machine
med [n]	middle (center)
medita [v]	meditate (ponder)
mega [num]	million (mega-)
memba [v]	participate (take part)
member [n]	member
memor [n]	memory
memora [v]	remember
men [n]	surface
merca [v]	trade (commerce)
mercer [n]	trader (merchant)
mercie [n]	commerce
mes [n]	month
metal [n]	metal
meza [n]	table
mi [pp]	I (me)
mien [n]	noodle
migan [n]	mandarin orange
mijin [n]	MSG (monosodium glutamate)
milke [n]	milk
mimen [pp]	we
min [a]	less
minar [n]	tower
ming [a]	clear (bright)
minim [a]	least (minimally)
minus [tam]	except (minus)
minut [n]	minute
misal [n]	example
miskin [a]	poor (miserable)
mit [n]	myth
model [n]	model
mogu [n]	mushroom (fungus)
mol [a]	soft
moli [n]	jasmine
monster [n]	monster
mos [n]	moss
mosim [n]	season
moskit [n]	mosquito
motor [n]	engine (motor)
